title,label,description,detail,date
"MaxCompute - MaxCompute Management Upgraded, Which Provides Comprehensive Monitoring for Compute Units and Supports Historical Job Queries and Batch Job Management",New Features,MaxCompute Management is upgraded to provide comprehensive monitoring for compute units and improve job query and management performance. The new version of MaxCompute Management makes it easier for you to manage your computing resources.,"Target customers: Alibaba Cloud MaxCompute customers.
Features released: 1: Enhanced monitoring for compute units: Metrics are provided to monitor compute units, and flexible resource group-based search is supported.
2. Improved job query performance: Users can query historical and running jobs and associate jobs with DataWorks node IDs.
3. Convenient job management: Users can terminate jobs in batches and query operations logs of the last seven days.
",Apr 13 2020
MaxCompute - Controls the Pay-As-You-Go Resources Consumed by a Single SQL Job,New Features,MaxCompute allows you to configure the limit on pay-as-you-go resources consumed by a single SQL job. This helps you avoid unexpected consumption.,"Target customers: Alibaba Cloud MaxCompute customers.
Feature released: MaxCompute allows you to add a flag to configure the limit on pay-as-you-go resources consumed by a single SQL job. Before MaxCompute executes an SQL job, it runs the cost sql command to check whether the estimated cost of the job exceeds the specified threshold. If the cost exceeds the specified threshold, the job is canceled to avoid losses.
",Apr 14 2020
Anti-DDoS Pro - Canceled Application Authorization Limits and Added a New Billing Item Based on the Number of Daily Active Terminals,New Features,"GameShield instances no longer limit the number of connected applications, but have a limited number of daily active terminals.","Target customers: 1. All customers.
2. Customers who have a large number of applications.

Features released: beginning April 1, 2020, a more flexible billing method of GameShield has been supported for your convenience. After the update, newly purchased GameShield instances no longer limit the number of connected applications, but have a limited number of daily active terminals. Upgraded GameShield instances continue to protect your services.

By default, the annual subscription fee of GameShield is USD 12,578.62.

By default, one independent GameShield instance is included in the annual subscription. The supported business bandwidth is 100 Mbit/s and the maximum number of daily active terminals is 30,000.

You can purchase extra independent GameShield instances and business bandwidth. The maximum number of daily active terminals varies based on the number of independent GameShield instances and the business bandwidth. The number of daily active terminals is calculated as follows:
The maximum number of daily active terminals = 30,000 + (The number of independent GameShield instances - 1) × 50,000 + (The speed of business bandwidth - 100) × 300.",Apr 08 2020
ApsaraDB for POLARDB - Supports Private Domain Names to Enable Database Migration With Unchanged Domain Names,New Features,PolarDB for MySQL allows you to bind a private domain name to the internal endpoint of your database. The private domain name takes effect in a specified Virtual Private Cloud (VPC). This feature allows you to keep your database domain name unchanged and minimize the costs of database migration.,"Target customers: users who connect to databases by using domain names. Users who want to keep database domain names unchanged after migrating data to Apsara PolarDB.
Features released: Apsara PolarDB allows you to bind a custom private domain name to the internal endpoint of your database. The system resolves the domain name into the specified internal endpoint when requests are sent to the domain name that takes effect in the specified VPC. This feature allows you to keep your database domain name unchanged when you migrate or change databases.",Apr 14 2020
ApsaraDB for POLARDB - Supports TDE to Enhance Data Security,New Features,PolarDB for MySQL 8.0 supports Transparent Data Encryption (TDE). This allows you to encrypt tables in an Apsara PolarDB database by using the default key generated by Alibaba Cloud or by using a custom key.,"Target customers: users who require data security.
Features released: PolarDB for MySQL 8.0 supports TDE. This allows you to encrypt tables by using the default key generated by Alibaba Cloud or by using a custom key. To enable this feature, you can execute this statement: alter table t encryption='Y'. TDE helps to avoid data loss due to leakage of original files or backups.
",Apr 14 2020
ApsaraDB for POLARDB - Available in Hangzhou Zone H,New Zones\Regions,,Apsara PolarDB is now available in Hangzhou Zone H.,Apr 13 2020
Threat Detection Service - Supports Automatic Analysis of Vulnerability Severity,Experience Enhancements,Security Center automatically analyzes the severity of vulnerabilities and reminds you to fix vulnerabilities with the higher severity. This feature helps enterprises prioritize vulnerabilities.,Feature released: Security Center automatically analyzes the severity of vulnerabilities based on the system environment and prioritizes vulnerabilities. ,Apr 09 2020
ApsaraDB for POLARDB - Supports Upgraded Backup,New Features,Apsara PolarDB provides additional advanced configurations and features to support enterprise-level backup and secure data.,"Target customers: Apsara PolarDB users and users who want to retain backups for a long period of time.
Features released: Apsara PolarDB supports the following additional features: 1. You can set the backup cycle. 2. Backups can be retained permanently. 3. Released instances are locked and can be restored to avoid data loss caused by user errors. 4. Storage locations of backups are classified at different levels. Level-2 backup is priced in the same way as Object Storage Service (OSS) to minimize your costs of backup storage.",May 12 2020
ApsaraDB for POLARDB - Available in the Japan (Tokyo) Region,New Zones\Regions,,Apsara PolarDB is now available in the Japan (Tokyo) region.,Apr 30 2020
Elastic Compute Service - Supports the Instance Maintenance Attribute,New Features,ECS now supports the instance maintenance attribute. You can modify the maintenance attribute of an instance to configure how to recover the instance when it goes down unexpectedly or when an active O&M plan is carried out.,"Target customers: All ECS users, especially those who want to change the failover mode to implement special scheduling policies at the application layer.
Feature released: By default, Alibaba Cloud automatically restarts an ECS instance if an automatic recovery event occurs for the instance, such as when the physical server that hosts the instance goes down unexpectedly or when an active O&M plan is carried out. You can customize the automatic recovery mode for an instance by modifying the maintenance attribute of the instance.",Apr 22 2020
Data Transmission Service - Supports Data Migration from on-premises Databases Connected over Cloud Enterprise Network,New Features,You can use DTS to migrate data from on-premises databases that are connected over Cloud Enterprise Network to Alibaba Cloud.,"Target customers: customers who use Cloud Enterprise Network to connect a VPC to an on-premises data center, and want to migrate on-premises databases to Alibaba Cloud.
Features released: You can use DTS to migrate data from on-premises databases that are connected over Cloud Enterprise Network to Alibaba Cloud.",May 07 2020
Cloud Shell - Supports Automatic SSH Connections to ECS Instances,New Features,The new version of the Alibaba Cloud iOS app supports automatic SSH connections to ECS instances based on Cloud Shell. You do not need to enter your password or key.,"Target customers: all ECS users.
Features released: The new version of the Alibaba Cloud iOS app supports automatic SSH connections to ECS instances based on Cloud Shell. You do not need to enter your password or key. This feature allows you to manage ECS instances on a mobile device with ease.",Apr 28 2020
Data Transmission Service - Supports Data Migration from Private Databases Connected over Database Gateway,New Features,You can use DTS to migrate data from private databases that are connected over Database Gateway.,"Target customers: customers who need to migrate data from private databases to Alibaba Cloud. Private databases have no public IP addresses or port numbers, and are inaccessible over the Internet.
Features released: You can use DTS to migrate data from private databases that are connected over Database Gateway. DTS ensures secure, encrypted, and reliable transmission.",Apr 16 2020
OpenAPI Explorer - Improved Debugging Feature of OpenAPI Explorer,Experience Enhancements,The debugging feature of OpenAPI Explorer allows you to upload videos when calling the SegmentVideoBody API operation.,The debugging feature of OpenAPI Explorer allows you to upload videos when calling the SegmentVideoBody API operation.,Apr 23 2020
Data Transmission Service - Supports Data Migration from TiDB Databases to MySQL Databases or Apsara PolarDB for MySQL Clusters,New Features,"DTS supports data migration from TiDB databases to MySQL databases or Apsara PolarDB for MySQL clusters in the China (Hangzhou) and China (Zhangjiakou-Beijing Winter Olympics) regions. The schema migration, full data migration, and incremental data migration features are available during the phased release period.","Target customers: customers who want to migrate data from TiDB databases to MySQL databases or Apsara PolarDB for MySQL clusters without downtime.
Features released: DTS supports data migration from TiDB databases to MySQL databases or Apsara PolarDB for MySQL clusters in the China (Hangzhou) and China (Zhangjiakou-Beijing Winter Olympics) regions. The schema migration, full data migration, and incremental data migration features are available during the phased release period. DTS allows you to ensure service continuity during data migration.",May 14 2020
Data Transmission Service - Improved Stability of Incremental Data Migration for SQL Server Databases,Experience Enhancements,The stability of incremental data migration for SQL Server databases is improved. The issue of data synchronization failure caused by log truncation is solved.,The stability of incremental data migration for SQL Server databases is improved. The issue of data synchronization failure caused by log truncation is solved. DTS can capture and parse SQL server logs that are truncated but not recycled.,May 14 2020
IoT Platform - Rule Engine Supports Adding Tags for Data Forwarding to AMQP Consumer Groups,Experience Enhancements,You can now specify tags when you forward data through AMQP using the rule engine.,You can now add tags to the messages forwarded by the rule engine to AMQP consumer groups. The tags can be constants or variables to help you label different messages.,May 09 2020
IoT Platform - Supports Device Simulation,New Features,"The device simulation module simulates the entire process of establishing a connection between a device and IoT Platform, reporting custom service data, receiving commands from the cloud, TSL communications, and tracking device logs.","Target customers: users who wish to develop and debug upper-layer business applications without hardware.
Features Released: 1. Simulates device MQTT connections.
2. Simulates the publishing and subscription features of custom topics.
3. Simulates the communication process of TSL properties, events, and services.
4. Simulates running log output of the device.
",May 09 2020
IoT Platform - Improves User Experience of the Console,Experience Enhancements,Optimized some console features to improve user experience.,"1. When you publish a newly edited TSL, you can compare it with the old TSL in the IoT Platform console to avoid editing errors.
2. The maximum number of TSL properties, events, and services is increased to 256 individually, with a total limit of 300.
3. The rule engine now supports the transfer of data among multiple cloud products.",May 09 2020
Time Series DataBase - Now Generally Available,New Features,Alibaba Cloud TSDB is now generally available.,Target customers: all users.,Apr 30 2020
Dedicated Host - Now Supports Overprovisioned Type v6,New Features,The sixth generation of overprovisioned dedicated hosts are now available. Enterprise customers can customize the overprovisioning ratio and customize the instance type to have more flexible deployment options in the cloud.,"Target customers: 1. Enterprises that use traditional virtualization (such as VMware, OpenStack, Hyper-V, and KVM) and wish to migrate their resources to the cloud while keeping the original resource management practices.
2. Manufacturing and retail users that require cost-effective cloud migration solutions.
3. Users of financial and insurance industries that require a secure and isolated cloud environment.
4. Internet industry users that want to reduce the cost of development and testing environment in the cloud.
Features Released: 1. You can create custom ECS instance types on sixth-generation overprovisioned dedicated hosts. You can select the number of vCPUs and memory size of the instances based on your needs.
2. You can adjust the CPU overprovisioning ratio based on your needs. You can set the ratio to a maximum of 8 to achieve optimal cost performance and minimize the total cost of ownership in the cloud for businesses that require different CPU loads.",Apr 29 2020
Data Lake Analytics - Supports the Read-Only Instances of MongoDB,New Features,Data Lake Analytics (DLA) supports the read-only instances of MongoDB.,"Target customers: all users.
Features released: DLA supports the read-only instances of MongoDB.",May 15 2020
MaxCompute - MMA V2.0 Launched,New Features,MaxCompute Migration Assist (MMA) V2.0 provides updated technical architecture and enhanced features. It improves migration efficiency and operation stability and makes operations more automated and intelligent.,"Target customers: customers who need to migrate data from Hadoop to MaxCompute.
Features released: The technical architecture and features of MMA are enhanced. MMA now supports the C/S architecture. It also provides intelligent queue scheduling and management, automatic retry and resumable uploads/downloads during data migration, data verification, and incremental updates. MMA V2.0 is more usable, stable, and efficient than MMA V1.0.
",May 08 2020
ApsaraDB for MongoDB - Configurable Parameters for Sharded Cluster Instances,Experience Enhancements,ApsaraDB for MongoDB supports configurable parameters for sharded cluster instances.,You can configure parameters for sharded cluster instances on ApsaraDB for MongoDB.,Apr 30 2020
ApsaraDB for PostgreSQL - XML2 Module Released to Support XPath Queries and XSLT Interfaces for Functions,New Features,The XML2 module is now available in ApsaraDB RDS for PostgreSQL V11 to support XPath queries and Extensible Stylesheet Language Transformations (XSLT) interfaces for functions.,"Target customers: Enterprise users and Internet users.
Features released: You can use XML2 to parse XML files when configuration and web page files are stored in XML format in databases.",May 14 2020
Alibaba Cloud CDN - Supports External Link Rewriting to Eliminate Bottlenecks of IPv6,New Features,Alibaba Cloud Content Delivery Network (CDN) provides a solution to eliminate the bottlenecks of IPv6. This solution allows you to rewrite external links on edge nodes and speed up content retrieval from these external links for IPv6-only users.,"Target customers: enterprise and government customers of CDN.
Issues resolved: your origin site may contain hyperlinks (external links) pointing to other websites. You can accelerate content retrieval from your origin site through dual stacking, network upgrades, and program rebuilding. However, content retrieval from these external links is still quite slow. IPv6-only users may experience issues, such as slow response, missing of content, or feature malfunction, when they visit external links. These issues are known as the bottlenecks of IPv6.
Features released: Alibaba Cloud CDN provides a solution to eliminate the bottlenecks of IPv6. This solution allows you to rewrite external links on edge nodes and speed up content retrieval from these external links for IPv6-only users.",May 08 2020
Alibaba Cloud CDN - Usage Reports for CDN Enterprise Customers,New Features,Content Deliver Network (CDN) now can automatically generate usage reports. This helps deliver the up-to-date information about service usage to enterprise customers.,"Target customers: enterprise customers in the financial, government, media, and retail sectors.
Features released: CDN now can automatically generate usage reports. This helps deliver the up-to-date information about service usage to enterprise customers.",May 15 2020
Time Series DataBase - Cluster Edition Supports CPU and Memory Usage Monitoring,New Features,TSDB Cluster Edition now allows you to monitor CPU and memory usage.,"Target customers: all customers.
Features released: you can now monitor the CPU and memory usage of your databases in the TSDB Cluster Edition console.",May 22 2020
ApsaraDB for SQL Server - Supports Primary Zone in China North 2 Ali Gov,New Features,ApsaraDB RDS for SQL Server now supports the primary zone feature in China North 2 Ali Gov to provide a high-availability architecture that contains primary and secondary zones.,"Target customers: government and enterprise users who require high availability.
Features released: ApsaraDB RDS for SQL Server now supports the primary zone feature in China North 2 Ali Gov to provide a high-availability architecture that contains primary and secondary zones.",May 25 2020
ApsaraDB for SQL Server - Supports Upgrade from Enterprise Edition Basic to High-availability Edition,New Features,ApsaraDB RDS for SQL Server now supports an upgrade from Enterprise Edition Basic to High-availability Edition for higher availability.,"Target customers: ApsaraDB RDS for SQL Server enterprise users who require high availability.
Features released: ApsaraDB RDS for SQL Server now supports an upgrade from Enterprise Edition Basic to High-availability Edition for higher availability.
",May 14 2020
Elastic Compute Service - Supports Execution of Remote Commands from the Instances Details Page,Experience Enhancements,ECS now supports execution of remote commands from the instance details pages through Cloud Assistant with no need to connect to instances. This facilitates O&M and improves the user experience and efficiency of ECS.,"Target customers: system administrators and O&M engineers of enterprise users, and individual users. Features released: ECS now supports execution of remote commands from the instance details pages in the ECS console. You can run remote commands in an ECS instance by sending the commands from the instance details page, without connecting or logging on to the instance. You can use remote commands to perform operations on instances, such as querying disk space, installing software, and starting or stopping services. Remote commands are sent through the task execution feature provided by Cloud Assistant. Make sure that you have installed and activated the Cloud Assistant client on an instance before you send remote commands to the instance.",May 29 2020
"Data Transmission Service - Supports Data Synchronization from PolarDB-X to PolarDB-X, AnalyticDB for MySQL, and AnalyticDB for PostgreSQL",New Features,"You can use DTS to synchronize historical data and incremental data between PolarDB-X clusters. You can also use DTS to synchronize schemas, historical data, and incremental data from a PolarDB-X cluster to an AnalyticDB for MySQL cluster or AnalyticDB for PostgreSQL instance.","Target customers: users who need to synchronize data from PolarDB-X to PolarDB-X, AnalyticDB for MySQL, or AnalyticDB for PostgreSQL.
Features released: You can use DTS to synchronize historical data and incremental data between PolarDB-X clusters. You can also use DTS to synchronize schemas, historical data, and incremental data from a PolarDB-X cluster to an AnalyticDB for MySQL cluster or AnalyticDB for PostgreSQL instance.",May 28 2020
Elastic Compute Service - Supports Isolation of Damaged Disks in Instances Equipped with Local Disks in the ECS Console,Experience Enhancements,ECS now supports isolation of damaged disks in instances equipped with local disks in the ECS console to improve O&M experience. Users can choose to redeploy affected instances or isolate and replace damaged disks.,"Target customers: enterprise-level customers that use instances equipped with local disks to create big data clusters and database systems. Features released: ECS now supports isolation of damaged disks in instances equipped with local disks in the ECS console. When Alibaba Cloud detects a damaged local disk in an ECS instance equipped with local disks, Alibaba Cloud sends you a system event that a damaged local disk needs to be isolated. After you agree to the isolation by using the ECS console, Alibaba Cloud CLI, or Alibaba Cloud ECS API, Alibaba Cloud will isolate and replace the damaged local disk as soon as possible. After the disk is replaced, Alibaba Cloud sends you the SystemMaintenance.RebootAndReInitErrorDisk system event. You can respond to the event within the event window.",May 22 2020
ApsaraDB for Redis - Supports Dynamic Bandwidth Throttling,New Features,"ApsaraDB for Redis now supports dynamic bandwidth throttling. When the bandwidth of shards is about to reach the upper limit but there are sufficient host resources, ApsaraDB for Redis scales out the instance to avoid bandwidth throttling. When the host resources are insufficient or the demand for bandwidth in the shards decreases, ApsaraDB for Redis automatically scales in the instance.","Target customers: all users of ApsaraDB for Redis.
Features released: ApsaraDB for Redis now supports dynamic bandwidth throttling. When the bandwidth of shards is about to reach the upper limit but there are sufficient host resources, ApsaraDB for Redis scales out the instance to avoid bandwidth throttling. When the host resources are insufficient or the demand for bandwidth in the shards decreases, ApsaraDB for Redis automatically scales in the instance. This ensures the elasticity of your workloads in case of network traffic spikes.

Before this feature is released, the bandwidth of ApsaraDB for Redis is limited to 96 Mbit/s per shard. If the bandwidth exceeds the upper limit, bandwidth throttling is triggered.",May 22 2020
ApsaraDB for MySQL - Supports a Zone of Primary Instance in a Dedicated Cluster,New Features,ApsaraDB RDS for MySQL allows you to select a zone of primary instance when you allocate instances in a dedicated cluster.,"Target customers: dedicated cluster users.
Features released: ApsaraDB RDS for MySQL allows you to select a zone of primary instance, a VSwitch in the zone, and a host in the zone when you allocate instances in a dedicated cluster. This feature helps you plan the distribution of database resources in the whole dedicated cluster.",May 21 2020
Anti-DDoS Pro - Interaction Between DCDN and Anti-DDoS Pro or Anti-DDoS Premium Supported in V7.1.3.0,New Features,The interaction between DCDN and Anti-DDoS Pro or Anti-DDoS Premium provides DDoS protection for DCDN users without affecting access acceleration.,"Target customers: financial and insurance industries, large chain stores, and supermarkets.
Features released: The interaction between DCDN and Anti-DDoS Pro or Anti-DDoS Premium works in the following ways: If no attacks are detected, DCDN is used for access acceleration. If attacks are detected, service traffic is routed from DCDN to an Anti-DDoS Pro or Anti-DDoS Premium instance for traffic scrubbing. This ensures normal service access. After the attacks are mitigated, service traffic is redirected from the instance to DCDN.",May 19 2020
ApsaraDB for MySQL - Supports the Minor Version Upgrade Policy on the Buy Page,Experience Enhancements,ApsaraDB RDS for MySQL allows you to specify the minor version upgrade policy on the buy page.,"Target customers: ApsaraDB RDS for MySQL users.
Features released: ApsaraDB RDS for MySQL allows you to specify the minor version upgrade policy as automatic upgrade or manual upgrade on the buy page.",May 15 2020
Hybrid Backup Recovery - Available in China (Qingdao) and Japan (Tokyo) Regions,New Zones\Regions,,Hybrid Backup Recovery is available in the China (Qingdao) and Japan (Tokyo) regions.,Jun 08 2020
Intelligent Speech Interaction - Alibaba Cloud Product Commercial Release: Intelligent Speech Interaction,New Features,Region: ap-southeast-1 (Singapore),"Target customers: customers with requirements of Intelligent Speech Interaction (speech-to-text and text-to-speech)
Features released: interaction is developed based on state-of-the-art technologies such as speech recognition, speech synthesis, and natural language understanding. Enterprises can integrate Intelligent Speech Interaction into their products to enable them to listen, understand, and converse with users, providing users with an immersive human-computer interaction experience. Intelligent Speech Interaction is currently available in Chinese, Cantonese, English, Japanese, Spanish and Russian, and please stay tuned for other languages.
Short sentence recognition:
Converts short audio (< 1 min.) to text. Applicable to real-time scenarios, such as voice search, voice command control, and voice short message. Short Sentence Recognition can be integrated into various mobile applications, smart home appliances, and smart assistants.

Real-time speech recognition:
Converts audio streams into text in real time. Intelligent segmentation is used to identify when sentences start and end. Applicable to scenarios with high requirements for real-time response, such as real-time transcription for live videos, meetings and court trials.

Recording file recognition:
Converts audio from files uploaded by users into text within 24 hours. Applicable to scenarios that are not time-sensitive, such as call center quality assurance, transcription of court trials from recordings, summarization of meeting minutes, and medical record filing.

Speech synthesis:
Converts text to natural speech. Speech Synthesis provides a variety of voices and allows you to adjust the speed, intonation, and volume. It is ideal for scenarios such as intelligent customer service, speech interaction, audio book, and broadcasting.

Self-learning platform:
Allows you to upload business-related data to improve the recognition accuracy in specific user case. Currently, you can upload only text to customize language models. In the future, Self-learning Platform will allow you to upload audio data to customize acoustic models.",Jun 18 2020
Web Application Firewall - WAF V5.2.1.0 Supports Threshold Tuning for Big Data Deep Learning Engine,Experience Enhancements,Big Data Deep Learning Engine allows you to tune the thresholds to achieve optimal protection.,"The deep neural network model on which Big Data Deep Learning Engine depends is data-driven, and fixed threshold values cannot suit all businesses. You can adjust the value to obtain optimal protection.",May 20 2020
Elastic Compute Service - Feature of Changing VPCs for Subscription Instances for Telemetry,New Features,ECS now supports the feature of changing VPCs for subscription instances to help users re-plan their network architecture.,"Target customers: users who need to migrate instances across VPCs.
Features released: ECS now supports the feature of changing VPCs for subscription instances to help you re-plan your network architecture in the following scenarios:
1. Poorly planned VPCs cannot meet increasing business requirements.
2. Different projects and environments share a single VPC, which causes risks in data operations. You need to plan VPCs by project or environment and migrate projects by changing VPCs of ECS instances.
3. Cross-account VPC interconnection is required. ECS instances are located in the default VPCs of different accounts, and the VPCs cannot be interconnected due to IP address conflicts. You need to solve the address conflicts by changing the VPCs of the ECS instances to allow cross-account VPC interconnection.",Jun 09 2020
Container Service for Kubernetes - Supports Prometheus and Event Center,New Features,Alibaba Cloud Container Service for Kubernetes (ACK) supports Prometheus and Event Center.,"Target customers: ACK users
Features released: ACK is now integrated with the Prometheus component and Node-problem-detector (NPD) component. You can select the components when you create a cluster. You can also upgrade and maintain the components on the Components page. Prometheus is a component provided by Application Real-Time Monitoring Service (ARMS) for container monitoring. NPD is a tool used for node anomaly detection. NPD can export events that record node anomalies such as Docker Engine hangs, Linux kernel hangs, network access issues, and file descriptor issues. To view these events, choose Clusters > Event Center in the ACK console.",May 31 2020
Container Service for Kubernetes - Supports Elastic Workload,New Features,Alibaba Cloud Container Service for Kubernetes (ACK) supports elastic workload.,"Target customers: ACK users with a large demand for elasticity.
Features released: Supports elastic workload. On the App Catalog page, select ack-kubernetes-elastic-workload to use the application. You can use ACK and Virtual Kubelets in combination to schedule pay-as-you-go and preemptible instances proportionally. This allows you to schedule your workload with elasticity.",May 31 2020
Alibaba Cloud CDN - Supports Interaction with Anti-DDoS Pro and Anti-DDoS Premium,New Features,Alibaba Cloud Content Delivery Network (CDN) provides an all-in-one secured acceleration service by interacting with scrubbing centers of Alibaba Cloud Anti-DDoS.,"Target customers: customers in the government, financial, enterprise, media, and retail sectors.
Features released: Alibaba Cloud CDN provides an all-in-one secured acceleration service by interacting with scrubbing centers of Alibaba Cloud Anti-DDoS. User traffic is routed to the nearest CDN node when no attacks are detected. User traffic is routed to your Anti-DDoS Pro or Anti-DDoS Premium instance when malicious traffic is detected.",Jun 12 2020
"Data Transmission Service - Supports Schema Migration, Full Data Migration, and Incremental Data Migration from Oracle to AnalyticDB for PostgreSQL",New Features,"You can use DTS to migrate schemas, full data, and incremental data from an Oracle database to an AnalyticDB for PostgreSQL instance.","Target customers: users who need to migrate or synchronize data from an Oracle database to an AnalyticDB for PostgreSQL instance to build a real-time data warehouse.
Features released: You can use DTS to migrate schemas, full data, and incremental data from an Oracle database to an AnalyticDB for PostgreSQL instance.",Jun 02 2020
Hybrid Backup Recovery - Supports ECS Disaster Recovery in US (Virginia) and India (Mumbai) Regions,New Zones\Regions,,The ECS disaster recovery feature is available in the US (Virginia) and India (Mumbai) regions.,Jun 04 2020
Container Service for Kubernetes - Supports Advanced Security Groups,New Features,Alibaba Cloud Container Service for Kubernetes (ACK) supports advanced security groups.,"Target customers: ACK users with large-scale businesses.
Features released: ACK provides multiple types of security group when you create a cluster. You can select a basic security group, an advanced security group, or an existing security group. Compared with basic security groups, each advanced security group can contain up to 65,536 private IP addresses. This is suitable for clusters where a large number of pods are deployed.",May 31 2020
Container Service for Kubernetes - Releases Application Management,New Features,Alibaba Cloud Container Service for Kubernetes (ACK) releases Application Management.,"Target customers: ACK users.
Features released: In earlier versions, after applications are deployed, the topology of applications is not displayed in a unified view. Therefore, version management and rollback cannot be unified for continuous deployments. Application Management provides a unified portal for your applications. This allows you to view the deployment of applications in a global manner. You can also view the deployment status and changes of all ACK sub-resources allocated to each application. In addition, Gits and Helm charts are used to deploy applications in ACK clusters based on versions. This allows you to publish or roll back applications of different versions deployed in ACK clusters of different versions. For more information, visit https://help.aliyun.com/document_detail/169921.html.
",May 31 2020
Web Application Firewall - WAF V5.3.0.0 Supports API Security,New Features,Web Application Firewall (WAF) allows you to define your API to prevent malicious requests. This protects your assets from attacks such as data tampering and replay.,"Target customers: customers whose services require APIs
WAF allows you to define your API to prevent malicious requests. This protects your assets from attacks such as data tampering and replay.",Jun 08 2020
Web Application Firewall - Custom Rule Group Optimized in WAF V5.2.2.0,Experience Enhancements,"Custom rule groups can be updated automatically or by you. In addition, you can view protection rule details and impact scopes of zero-day vulnerabilities.","1. Optimize the template fields of the time rule group and dependency rule group, giving you the ability to manage the custom rule groups.
2. Automatically update custom rule groups, improving security and availability.
3. Allow you to view details of protection rules and affected assets of zero-day vulnerabilities and identify impact scopes, thus minimizing potential risks. ",Jun 04 2020
ElasticSearch - Supports Debugging of Logstash Pipeline Configurations,New Features,"When you configure a Logstash pipeline, you can enable the pipeline configuration debugging feature. Then, you can view related outputs in the debug logs of the pipeline and verify pipeline configurations and outputs in time.","Target customers: Alibaba Cloud Logstash users.
Features released: 1. Before you enable the pipeline configuration debugging feature, make sure that the logstash-output-file_extend plug-in is installed. 2. When you configure a Logstash pipeline, you can add the debugging configuration to the output part of the pipeline configurations. After the pipeline is configured, you can view and verify pipeline outputs. 3. On the Debug Log tab of the Logs page of your Logstash cluster, you can search for your pipeline by using its ID and then view the debug logs of the pipeline.
",Jun 11 2020
ElasticSearch - Latest Kernel Minor Version 1.2.0 Released,New Features,"Alibaba Cloud Elasticsearch regularly updates its kernel for performance improvements, new features, and bug fixes. You can also manually update the kernels of your Elasticsearch clusters to the latest minor version.","Target customers: users of Alibaba Cloud Elasticsearch V6.7.
Features released: The kernel of the latest minor version provides the following features: 1. Physical replication: improves the write performance of indexes that have replica shards. 2. Pruning for time series indexes: improves the query performance of indexes that contain time series fields. 3. Improved deduplication for primary keys of documents during queries: increases the write performance of documents that contain primary keys by 10%. 4. Support for finite-state transducers (FSTs) that do not occupy heap memory, and support for up to 20 TiB of storage space per node.
",Jun 11 2020
ElasticSearch - codec-compression Launched,New Features,"The codec-compression plug-in is an index compression plug-in developed by the Alibaba Cloud Elasticsearch team. The plug-in is ideal for scenarios where a large volume of data needs to be written or the storage costs for indexes are high, such as in logging and time series analysis.","Target customers: users of Alibaba Cloud Elasticsearch V6.7.
Features released: The codec-compression plug-in supports the Brotli and zstd compression algorithms. It uses different compression algorithms for various indexes. This significantly reduces index storage costs. A performance test is performed for the compression ratio. The test result is as follows: When codec-compression uses Brotli and zstd, it achieves a 45% higher compression ratio and experiences a write performance loss of 10% compared with when it uses LZ4. However, it achieves an 8% higher compression ratio and maintains the same write performance compared with when it uses best_compression (DEFLATE).",Jun 11 2020
ElasticSearch - aliyun-sql Launched to Support a Variety of SQL Features,New Features,The aliyun-sql plug-in is used to parse SQL queries. It is developed based on Apache Calcite. The plug-in is deployed on a server and provides more features than the open-source SQL plug-in.,"Target customers: users of Alibaba Cloud Elasticsearch V6.7.0 or later.
Features released: The aliyun-sql plug-in uses the syntax of MySQL 5.0. The plug-in supports a variety of functions, expressions, and joins. In addition to common queries, it can also be used to parse nested queries and paged queries.",Jun 11 2020
ApsaraDB for POLARDB - Supports Storage Plans to Reduce Costs by 40% for over 10 TB of Storage,New Features,Apsara PolarDB supports storage plans to minimize the storage costs. These plans are particularly suitable if you require a large storage capacity.,"Target customers: large-capacity MySQL users.
Features released: you can purchase storage plans to offset the storage fees of your Apsara PolarDB clusters.
",Jun 12 2020
ApsaraDB for POLARDB - Charges for the Backup Feature,Pricing Updates,Alibaba Cloud provides a free quota of storage space to store backups and logs of Apsara PolarDB. Fees are incurred if additional storage space is used.,"Alibaba Cloud charges for storage space that exceeds the free quota provided for backups and logs of Apsara PolarDB.
For more information about the pricing of this feature, visit https://www.alibabacloud.com/help/doc-detail/163253.htm.",Jun 10 2020
ApsaraDB for POLARDB - Supports Migration from ApsaraDB RDS for MySQL Without Changing Source Database Connection Addresses in Applications,New Features,You can migrate your workloads from an ApsaraDB RDS for MySQL instance to an Apsara PolarDB instance. You do not need to change the source database connection address in your application configurations.,"Target customers: ApsaraDB RDS for MySQL users who want to use Apsara PolarDB.
Features released: you can migrate your workloads from an ApsaraDB RDS for MySQL instance to an Apsara PolarDB instance. You do not need to change the source database connection address in your application configurations. You can retain the public endpoint and private endpoint of the primary instance or the read/write splitting endpoint. This allows you to get started with Apsara PolarDB at the earliest opportunity.",Jun 10 2020
ApsaraDB for PostgreSQL - Supports New Instance Types,New Features,"ApsaraDB RDS for PostgreSQL instances with standard SSDs or enhanced SSDs (ESSDs) now support the 104 cores, 384 GB and 104 cores, 768 GB instance types to provide ultra-high performance.","Target customers: ApsaraDB RDS for PostgreSQL users with large scale businesses.
Features released: ApsaraDB RDS for PostgreSQL instances with standard SSDs or enhanced SSDs now support the 104 cores, 384 GB and 104 cores, 768 GB instance types.",Jun 12 2020
